,survived
868,0
691,1
689,1
200,0
545,0
574,0
122,0
363,0
344,0
54,0
395,0
239,0
356,1
528,0
371,0
420,0
502,0
40,0
490,0
256,1
73,0
8,1
881,0
496,1
733,0
156,1
123,1
369,1
320,0
527,0
125,1
265,0
